Point ID,area,equilibrium_x,equilibrium_y,equilibrium_z,lambda_equilibrium_x,lambda_equilibrium_y,lambda_equilibrium_z,lambda_stress_disp_xx,lambda_stress_disp_xy,lambda_stress_disp_xz,lambda_stress_disp_yy,lambda_stress_disp_yz,lambda_stress_disp_zz,Points_0,Points_1,Points_2,Points_Magnitude,pred_equilibrium_x,pred_equilibrium_y,pred_equilibrium_z,pred_stress_disp_xx,pred_stress_disp_xy,pred_stress_disp_xz,pred_stress_disp_yy,pred_stress_disp_yz,pred_stress_disp_zz,sdf,sigma_xx,sigma_xx__x,sigma_xy,sigma_xy__x,sigma_xy__y,sigma_xz,sigma_xz__x,sigma_xz__z,sigma_yy,sigma_yy__y,sigma_yz,sigma_yz__y,sigma_yz__z,sigma_zz,sigma_zz__z,stress_disp_xx,stress_disp_xy,stress_disp_xz,stress_disp_yy,stress_disp_yz,stress_disp_zz,true_equilibrium_x,true_equilibrium_y,true_equilibrium_z,true_stress_disp_xx,true_stress_disp_xy,true_stress_disp_xz,true_stress_disp_yy,true_stress_disp_yz,true_stress_disp_zz,u,u__x,u__y,u__z,v,v__x,v__y,v__z,w,w__x,w__y,w__z
873,0.00051179,0.00167611,-0.00202468,0.00350896,0.0488801,0.0488801,0.0488801,0.0488801,0.0488801,0.0488801,0.0488801,0.0488801,0.0488801,-0.79888,-0.262472,0.794902,1.15714,0.00167611,-0.00202468,0.00350896,0.00435651,-0.00017053,0.000252098,-0.00610858,-0.00360507,0.00726394,0.0488801,0.000301555,-0.00387807,7.73743e-05,-0.000792446,9.69258e-05,0.000230871,0.00112089,0.00210503,-0.000940995,-1.42863e-06,-0.000747163,0.000314403,0.00281856,-2.76901e-05,-0.00494425,0.00435651,-0.00017053,0.000252098,-0.00610858,-0.00360507,0.00726394,0,0,0,0,0,0,0,0,0,-0.000648558,1.77002e-05,-0.000152104,-0.000244757,-0.000325734,0.000151173,-4.0838e-05,-5.51538e-06,0.000345416,0.000249587,-3.80069e-05,3.05912e-05
874,0.00051179,0.00418447,-1.62392e-05,-0.00600621,0.123428,0.123428,0.123428,0.123428,0.123428,0.123428,0.123428,0.123428,0.123428,-0.875861,-0.84323,-0.876572,1.49885,0.00418447,-1.62392e-05,-0.00600621,-0.00133984,0.00230336,0.00267126,-0.00316806,0.000806135,0.000644202,0.123428,0.00117375,-0.00617774,-0.000780545,0.0032012,-0.000734524,0.000972103,-0.00313943,0.00272779,-0.00111155,-0.00173461,-0.000212735,0.000659705,-0.00145035,-0.000466798,0.00848593,-0.00133984,0.00230336,0.00267126,-0.00316806,0.000806135,0.000644202,0,0,0,0,0,0,0,0,0,-0.00047674,4.09452e-06,0.000308291,-0.000475283,-0.000294471,-0.000293063,-1.64731e-05,-0.000122934,0.000307739,0.000511716,0.000128868,5.81199e-06
875,0.00051179,0.00219538,0.00625559,0.00575865,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,0.02419,-0.97581,-0.778504,-0.844757,1.50728,0.00219538,0.00625559,0.00575865,-0.00222442,-1.10045e-05,0.00258609,-0.00671882,0.00981522,0.000400352,0.02419,0.00113805,-0.00416201,-0.00128793,0.00521604,-0.0015025,0.0016142,-0.00763,0.00346913,-0.00151698,-0.00602621,-0.000360258,0.0028225,-0.00544543,-0.00218466,-0.000951148,-0.00222442,-1.10045e-05,0.00258609,-0.00671882,0.00981522,0.000400352,0,0,0,0,0,0,0,0,0,-0.000471346,7.38332e-06,0.000324102,-0.000456429,-0.000268633,-0.000337091,-2.83639e-05,-7.13488e-05,0.000267155,0.000498432,0.000165898,3.89365e-06
876,0.00051179,0.00247674,0.000677129,0.00141381,0.04591,0.04591,0.04591,0.04591,0.04591,0.04591,0.04591,0.04591,0.04591,-0.79591,-0.489168,0.817853,1.24163,0.00247674,0.000677129,0.00141381,0.0022889,-0.000542555,0.000271253,-0.005403,-0.00470087,0.0054439,0.04591,0.000391558,-0.00341025,6.40228e-05,-0.00284757,-0.000402884,0.000396397,0.000890359,0.0013364,-0.000852095,-0.000866286,-0.000785409,0.000488185,0.00303673,-0.000499751,-0.00279236,0.0022889,-0.000542555,0.000271253,-0.005403,-0.00470087,0.0054439,0,0,0,0,0,0,0,0,0,-0.000607848,1.18221e-05,-0.000255097,-0.000293701,-0.000317091,0.000250312,-3.28557e-05,-2.40976e-05,0.000355065,0.000300378,-3.07652e-05,2.31405e-05
877,0.00051179,0.118582,0.0229296,-0.143986,0.0232047,0.0232047,0.0232047,0.0232047,0.0232047,0.0232047,0.0232047,0.0232047,0.0232047,-0.654323,-0.0228568,0.0767953,0.65921,0.118582,0.0229296,-0.143986,0.00448568,0.0106174,0.0611751,-0.0800963,-0.00949221,0.0630488,0.0232047,0.293984,-3.26607,-0.0704017,-0.172963,3.28519,-0.047663,0.0366919,-0.137705,0.66594,-0.0876976,-0.000265508,0.244113,0.237731,0.033607,-0.136819,0.00448568,0.0106174,0.0611751,-0.0800963,-0.00949221,0.0630488,0,0,0,0,0,0,0,0,0,-0.000382282,0.000360461,-0.000352286,0.00245718,-0.000382358,-0.000245557,0.00179733,-0.000399627,0.000280611,-0.00232206,0.000302049,-0.000648609
878,0.00051179,0.00926913,0.00286945,-0.0167781,0.0312512,0.0312512,0.0312512,0.0312512,0.0312512,0.0312512,0.0312512,0.0312512,0.0312512,-0.968749,0.797791,0.504308,1.35251,0.00926913,0.00286945,-0.0167781,-0.000321231,-0.00590132,-0.00588098,0.00667488,-0.0193727,0.00610368,0.0312512,0.00666167,-0.063133,-0.00560438,0.0202426,0.00657496,-0.00689777,0.0248671,0.0472889,-0.000792669,0.0241502,0.00266577,0.00623147,-0.0472622,0.0042946,-0.0143205,-0.000321231,-0.00590132,-0.00588098,0.00667488,-0.0193727,0.00610368,0,0,0,0,0,0,0,0,0,-0.000400543,5.60112e-06,0.000496896,-0.000510408,-0.000305975,-0.000611953,3.30998e-06,-1.26617e-05,0.000251584,0.000382621,-0.000154407,2.58903e-05
879,0.00051179,0.0310433,-0.00101562,-0.025223,0.0477666,0.0477666,0.0477666,0.0477666,0.0477666,0.0477666,0.0477666,0.0477666,0.0477666,-0.952233,0.825162,0.184949,1.27352,0.0310433,-0.00101562,-0.025223,-0.002148,0.00147185,0.020737,0.0118639,-0.0364828,-0.000350058,0.0477666,0.262769,1.5033,-0.0780323,-0.145026,-0.0233918,0.0416793,-1.05554,-1.51095,-0.000386493,-0.0814612,0.00878723,0.0940856,0.227503,-0.0642211,0.986681,-0.002148,0.00147185,0.020737,0.0118639,-0.0364828,-0.000350058,0,0,0,0,0,0,0,0,0,-0.000274293,0.00106365,0.000605595,0.000344,-0.000333006,-0.0013712,-0.000182068,-6.74763e-05,0.000283286,0.000280163,-0.000209479,-0.000562311
880,0.00051179,-0.0178394,-0.00974815,-0.0230503,0.00755039,0.00755039,0.00755039,0.00755039,0.00755039,0.00755039,0.00755039,0.00755039,0.00755039,-0.99245,0.886248,-0.68483,1.49646,-0.0178394,-0.00974815,-0.0230503,0.00249173,0.000120107,0.00252657,-0.00241464,-0.0166693,-0.00286186,0.00755039,-0.000306353,0.0309703,-0.00216462,0.0134195,0.00728636,0.000799559,0.00544374,-0.0204173,-0.000542449,-0.00893382,0.000498789,0.00016127,0.0052625,-0.000648048,0.0174453,0.00249173,0.000120107,0.00252657,-0.00241464,-0.0166693,-0.00286186,0,0,0,0,0,0,0,0,0,-0.000586383,1.58672e-05,-0.000410311,-0.00058906,-0.000330502,0.000389866,-9.84511e-06,6.03015e-05,0.000206925,0.000622321,-0.000222006,-1.26092e-05
881,0.00051179,-0.00486629,-0.00348616,0.00107081,0.0805296,0.0805296,0.0805296,0.0805296,0.0805296,0.0805296,0.0805296,0.0805296,0.0805296,-0.83053,0.615234,0.630163,1.21054,-0.00486629,-0.00348616,0.00107081,-0.00101661,-0.00237324,9.75356e-05,-0.00452024,0.00748732,0.0088056,0.0805296,0.000388399,-0.00924473,0.000339635,0.00513875,0.00041144,-0.000275351,0.0177778,0.0136996,-0.00239091,0.00575221,-0.000789187,0.00221771,-0.0074048,0.000497617,-0.0210663,-0.00101661,-0.00237324,9.75356e-05,-0.00452024,0.00748732,0.0088056,0,0,0,0,0,0,0,0,0,-0.000527687,-5.17627e-06,0.000334835,-0.000339123,-0.000359679,-0.000355171,-3.6591e-05,7.09393e-05,0.000318088,0.000337345,-3.95802e-06,4.44808e-05
882,0.00051179,0.0515223,-0.0945356,0.0365305,0.0218029,0.0218029,0.0218029,0.0218029,0.0218029,0.0218029,0.0218029,0.0218029,0.0218029,-0.771803,-0.413282,-0.103149,0.881545,0.0515223,-0.0945356,0.0365305,0.0517887,-0.0339123,0.125268,-0.022016,-0.00777142,0.0128042,0.0218029,-1.52365,-15.1985,0.356134,3.10453,0.358882,-0.337004,-8.6151,14.7881,-0.377117,0.187548,0.0847093,-0.0114923,-3.19755,-0.179149,8.59006,0.0517887,-0.0339123,0.125268,-0.022016,-0.00777142,0.0128042,0,0,0,0,0,0,0,0,0,-0.00116426,-0.00500853,0.00182963,0.000102048,-0.000229085,0.00139259,0.000355111,0.000427723,0.000272192,-0.0022194,0.000341656,0.00151905
